student_id,age,gender,region,school_type,socio_economic,parent_education,parent_income,enrollment_date,graduation_year,school_rank,previous_gpa,attendance_rate,study_hours_per_week,num_extracurriculars,internet_access,math_score,physics_score,chemistry_score,biology_score,literature_score,english_score,math_level,physics_level,literature_level,english_level,communication,teamwork,leadership,problem_solving,preferred_option,satisfaction
S101173,17,M,Tunis,International,Medium,Bachelor,40733.0,2021-10-02,2025,379,16.12,0.879,5.44,3,Home+Mobile,17.5,9.75,14.14,16.55,20.0,5.89,A,D,A,D,9.93,6.21,4.62,5.59,Letters,2.0
S101533,17,M,Sfax,Private,Medium,Primary,36474.0,2021-11-07,2025,146,13.31,0.877,2.5,1,None,15.37,18.83,,11.6,8.21,9.32,B,A,D,D,3.1,4.31,4.63,6.85,Science,2.0
S100354,16,F,Monastir,Publc,Low,Bachelor,24727.0,2021-12-28,2024,119,14.86,0.767,0.41,2,Mobile only,15.13,15.02,16.19,16.78,10.96,15.72,B,B,C,B,7.73,6.96,4.88,6.25,Engineering,2.0
S100757,18,F,Sousse,Vocational,Medium,Primary,19881.0,2022-01-23,2025,405,12.36,0.82,0.61,2,Home+Mobile,8.06,11.4,10.41,9.47,16.69,,D,C,A,A,6.0,5.37,9.97,6.35,Letters,3.0
S100207,18,F,Monastir,Private,Medium,None,12420.0,2021-09-26,2025,237,17.15,0.813,8.7,1,School only,11.81,14.5,7.07,16.52,17.65,12.37,C,B,A,C,7.71,7.96,5.69,8.11,Letters,2.0
S100702,17,M,Kairouan,Public,Medium,Bachelor,27805.0,2021-11-11,2024,69,12.06,0.887,0.17,0,Home+Mobile,11.5,9.76,10.8,15.18,12.31,6.36,C,D,C,D,7.65,7.99,9.52,6.62,Letters,3.0
S100748,20,F,Sousse,Public,Low,Primary,6503.0,2022-02-03,2024,418,16.82,0.909,0.27,0,School only,15.51,5.18,20.0,13.03,15.46,9.27,B,D,B,D,5.23,7.98,3.27,7.44,Letters,3.0
S101094,17,M,Sousse,Public,Medium,Secondary,4541.0,2021-09-12,2024,267,14.39,0.857,7.76,2,Home+Mobile,8.77,11.81,12.94,15.06,8.11,11.37,D,C,D,C,8.89,6.36,1.99,6.35,Economics,2.0
S100416,17,M,Tunis,Public,Low,Secondary,28155.0,2022-04-07,2025,500,9.09,0.994,7.25,0,Mobile only,16.42,15.6,13.82,9.98,10.78,,A,B,C,C,5.79,8.65,4.2,6.4,Science,3.0
S101443,17,Other,Monastir,Public,High,None,1000.0,2021-09-10,2024,142,14.89,0.93,0.9,1,Home+Mobile,9.59,11.31,9.37,11.12,12.97,8.61,D,C,C,D,3.81,2.94,5.11,7.25,IT,1.0
S101077,18,M,Bizerte,Private,High,Bachelor,33461.0,2022-03-17,2024,63,"10,99",0.947,1.68,1,Home+Mobile,13.0,20.0,8.01,9.86,14.32,10.21,C,A,B,C,5.14,9.19,4.05,4.45,Engineering,3.0
S101187,16,M,Gafsa,Public,Medium,Primary,35274.0,2021-10-16,2024,183,11.87,0.998,0.03,1,Home+Mobile,19.26,15.92,10.27,,9.1,14.64,A,B,D,B,3.92,5.95,1.67,3.55,Science,2.0
S101886,15,F,Monastir,Private,Low,Secondary,22231.0,2022-04-14,2024,386,11.31,0.877,4.92,0,Mobile only,13.63,4.59,12.12,6.2,12.87,9.99,B,D,C,D,5.12,6.97,6.05,7.55,IT,3.0
S100442,17,F,Gabes,Vocational,Medium,None,38363.0,2022-01-13,2023,475,13.65,0.868,0.59,4,Mobile only,17.0,10.93,,13.36,12.03,2.72,A,C,C,D,2.83,2.51,1.91,7.69,IT,
S101668,16,M,Sousse,Public,Medium,Secondary,32757.0,2022-06-28,2024,493,11.5,0.998,8.74,1,Mobile only,13.02,16.89,9.51,12.9,3.93,9.45,B,A,D,D,4.66,9.0,4.05,6.1,Science,3.0
S101947,16,F,Tozeur,Public,Medium,Master,15506.0,2022-09-24,2024,348,13.29,0.85,2.76,1,School only,18.22,12.76,6.83,11.2,17.53,0.0,A,C,A,D,7.19,4.14,6.59,8.96,Science,3.0
S100536,19,F,Kairouan,Public,Medium,Master,19817.0,2022-09-18,2025,414,10.89,0.877,1.4,0,School only,12.21,9.7,14.93,5.92,9.33,10.62,C,D,D,C,4.69,8.69,4.19,6.66,Letters,3.0
S100348,17,F,Tunis,Public,Low,Secondary,18805.0,2021-10-06,2023,344,12.67,0.856,4.36,3,Home+Mobile,5.35,7.67,8.52,11.23,10.5,13.97,D,D,C,B,9.33,5.91,8.12,6.05,Arts,3.0
S101025,17,M,Sfax,Private,Low,Master,10272.0,2022-07-08,2024,185,13.73,0.893,1.73,0,Home+Mobile,14.65,17.15,9.53,17.21,6.89,15.56,B,A,D,B,9.88,6.37,7.31,2.93,Engineering,2.0
S100403,19,M,Gabes,Public,Medium,Secondary,45310.0,2021-11-06,2026,82,13.44,0.893,3.57,0,Home+Mobile,10.37,12.15,12.96,14.97,16.03,11.97,C,C,A,C,7.48,1.85,8.03,3.82,Letters,2.0
S100362,17,M,Gafsa,Public,Low,Primary,31115.0,2022-04-02,2024,399,11.6,0.91,1.96,0,School only,12.31,11.11,9.22,11.26,11.78,9.4,C,C,C,D,6.24,7.22,3.86,5.07,Science,3.0
S100026,16,F,Sousse,International,High,Primary,31562.0,2021-09-19,2024,88,13.63,0.839,0.35,2,Home+Mobile,14.69,7.11,20.0,9.41,10.33,5.43,B,D,C,D,8.85,5.74,5.0,8.18,Arts,2.0
S101127,17,M,Gafsa,Public,Low,Primary,8231.0,2022-07-17,2025,68,14.65,0.966,6.96,1,Mobile only,14.29,5.46,11.75,13.63,12.71,2.31,B,D,C,D,3.84,8.81,7.31,7.85,IT,3.0
S101188,17,F,Monastir,Public,High,PhD,33338.0,2021-12-07,2025,227,16.89,0.806,0.21,4,Home+Mobile,16.75,14.41,15.94,8.8,8.71,,A,B,D,C,5.75,7.67,7.52,7.72,Engineering,3.0
S100177,17,F, SFAX,Public,Medium,"unknown
",25804.0,2021-10-28,2024,201,11.65,0.842,0.96,0,Mobile only,17.88,N/A,11.53,11.53,6.33,14.22,A,D,D,B,5.1,4.8,4.71,5.11,Letters,2.0
S101969,15,M,Nabeul,Public,Medium,Bachelor,33188.0,2021-11-19,2025,459,10.41,0.781,6.37,0,Home+Mobile,20.0,12.64,16.57,19.51,11.86,,A,C,C,A,7.23,6.16,6.03,6.47,Engineering,2.0
S101583,17,F,Bizerte,Public,Medium,Secondary,19496.0,2023-12-16,2024,341,15.23,0.76,2.34,2,Mobile only,19.83,12.3,13.52,12.61,15.58,7.86,A,C,B,D,,6.18,9.09,6.0,Science,2.0
S100955,17,F,Sfax,Public,Low,None,24124.0,2023-04-10,2025,427,12.51,1.0,2.73,2,Mobile only,13.87,13.5,14.02,7.71,11.45,10.52,B,B,C,C,4.22,7.71,4.11,5.24,Engineering,2.0
S100716,19,F,Gabes,Private,Medium,Primary,20652.0,2022-08-22,2026,141,13.52,0.896,7.22,1,Mobile only,17.5,15.13,,16.86,7.45,10.38,A,B,D,C,6.87,3.3,4.71,5.82,Science,2.0
S100252,19,F,Monastir,Public,Medium,Master,19971.0,2022-12-24,2026,248,14.73,0.991,3.39,5,Home+Mobile,10.87,12.73,7.02,9.66,15.86,9.34,C,C,B,D,7.29,6.46,9.0,6.23,Arts,2.0
S100414,18,F,Gabes,Public,Medium,Primary,8374.0,2021-12-21,2025,227,13.54,0.773,0.18,3,Home+Mobile,16.02,10.62,9.78,12.93,12.81,11.25,A,C,C,C,5.13,6.99,6.67,5.8,Science,2.0
S100558,19,M,Bizerte,Public,High,Secondary,30044.0,2022-01-24,2024,121,13.87,0.976,0.01,3,Home+Mobile,12.13,12.5,8.43,15.26,5.73,15.32,C,C,D,B,6.33,5.66,3.92,2.79,Science,2.0
S100553,18,F,Sousse,Public,Low,Secondary,24037.0,2022-07-17,2024,108,12.98,0.868,1.9,1,Home+Mobile,12.1,11.71,10.07,12.92,6.23,11.82,C,C,D,C,4.4,7.08,1.92,4.63,Engineering,2.0
S100193,18,F,Kairouan,Public,Low,Secondary,53383.0,2021-10-03,2023,299,12.72,0.912,500.0,3,Mobile only,120.0,10.82,6.84,15.17,10.0,14.32,A,C,C,B,6.49,4.24,8.48,6.0,Letters,3.0
S101153,18,M,Monastir,Public,Low,Master,1000.0,2021-11-09,2023,244,11.77,0.928,9.55,3,Home+Mobile,13.07,12.03,10.73,15.48,7.81,10.35,B,C,D,C,6.69,7.18,3.27,3.73,Science,3.0
S100918,19,M,Sfax,International,High,Bachelor,16603.0,2022-02-08,2024,111,9.78,0.937,2.38,4,Home+Mobile,9.09,17.08,2.76,11.3,12.08,,D,A,C,A,,3.13,5.63,7.05,Letters,2.0
S101113,18,M,Tozeur,Public,Low,Master,4203.0,2022-02-21,2023,285,15.32,0.881,0.43,1,Home+Mobile,8.57,14.79,10.21,11.18,8.43,13.65,D,B,D,B,5.28,5.9,4.89,5.58,Letters,3.0
S100445,20,M,Nabeul,Public,Low,Primary,28029.0,2021-11-02,2025,152,11.47,0.999,1.35,3,School only,15.83,8.85,15.49,,13.94,13.32,B,D,B,B,7.13,5.01,1.91,6.0,Arts,3.0
S101679,18,M,Tozeur,Public,Medium,Bachelor,26848.0,2021-09-14,2024,153,13.88,0.76,15.31,1,Home+Mobile,12.9,17.69,10.02,20.0,12.66,14.81,C,A,C,B,5.37,7.76,7.29,7.62,Science,2.0
S101484,17,F,Tozeur,Public,Medium,Primary,38507.0,2022-02-07,2024,432,12.22,0.922,0.49,1,None,14.47,15.58,,11.26,5.06,14.77,B,B,D,B,9.0,6.89,2.86,3.3,Engineering,2.0
S101082,17,M,Bizerte,Private,High,Bachelor,22873.0,2022-05-25,2025,256,10.22,0.772,3.97,0,Home+Mobile,15.33,6.85,7.74,13.28,15.22,9.39,B,D,B,D,4.64,5.84,8.77,6.11,Letters,2.0
S101475,18,F,Nabeul,Public,High,Secondary,18587.0,2022-03-16,2025,11,13.07,1.0,1.09,1,Home+Mobile,4.03,14.37,14.05,2.33,15.81,8.02,D,B,B,D,8.32,6.74,3.4,6.91,Letters,3.0
S100451,18,Other,Nabeul,Public,Medium,Secondary,26604.0,2022-04-23,2024,443,9.2,0.87,0.38,2,Home+Mobile,16.91,10.32,12.84,6.24,4.5,10.03,A,C,D,C,5.67,4.67,4.96,3.63,Letters,3.0
S101651,17,M,Tunis,Public,Low,Bachelor,27267.0,2021-09-21,2026,499,13.53,0.973,5.37,2,Home+Mobile,11.85,4.91,14.31,5.24,7.2,,C,D,D,D,5.46,5.04,3.83,6.67,Science,2.0
S100464,20,F,Gabes,Vocational,Medium,Primary,38808.0,2021-09-04,2023,368,12.51,0.905,1.01,1,Mobile only,18.72,19.12,5.79,13.33,13.17,,A,A,B,B,5.09,,4.52,3.98,Science,4.0
S101201,15,F,Kairouan,Public,Low,Secondary,16484.0,2021-10-06,2025,99,12.06,0.949,0.38,2,School only,7.34,18.19,10.45,5.59,13.59,8.89,D,A,B,D,6.7,6.02,4.79,7.44,Letters,3.0
S100458,16,F,Monastir,Public,Low,Secondary,34920.0,2021-09-06,2025,273,15.67,0.916,1.16,3,Home+Mobile,12.39,11.28,8.38,6.83,12.49,14.5,C,C,C,B,5.28,6.58,8.41,5.77,Science,3.0
S101881,19,F,Bizerte,Public,Medium,Secondary,30339.0,2021-09-22,2025,71,14.01,0.796,1.32,1,Home+Mobile,15.09,8.64,7.42,10.67,10.58,19.06,B,D,C,A,9.55,8.45,4.36,4.56,Arts,2.0
S100957,15,F,Nabeul,Private,Medium,Secondary,22023.0,2021-09-19,2023,251,11.24,0.834,3.75,2,Home+Mobile,14.39,11.89,10.96,13.8,17.64,10.7,B,C,A,C,7.89,6.4,6.11,5.57,Engineering,2.0
S101046,17,M,Tunis,Public,Low,Primary,4401.0,2022-11-21,2023,443,12.21,0.806,11.43,2,Home+Mobile,16.05,15.22,17.17,4.75,11.35,10.63,A,B,C,C,10.0,8.07,5.7,7.05,Science,3.0
S101313,19,M,Nabeul,Public,Medium,Secondary,22222.0,2022-04-25,2025,167,10.42,0.921,0.15,1,None,20.0,11.14,10.88,10.33,10.98,8.84,A,C,C,D,7.34,4.58,5.46,6.9,Engineering,2.0
S100369,16,F,Gafsa,International,Low,Master,28453.0,2022-05-02,2024,352,11.28,0.801,6.46,0,Home+Mobile,7.21,15.16,12.64,16.73,12.46,8.73,D,B,C,D,6.25,5.05,4.38,7.81,IT,2.0
S100484,18,M,Monastir,Public,Low,Primary,8164.0,2021-11-06,2023,387,7.17,1.0,0.48,1,Mobile only,11.85,10.82,18.06,,10.17,17.47,C,C,C,A,3.64,5.5,9.24,4.45,Letters,3.0
S100687,17,M,Nabeul,Publc,Medium,Secondary,30006.0,2022-08-11,2024,285,7.43,0.918,3.63,3,Mobile only,15.93,12.47,11.59,9.35,16.14,16.01,B,C,A,A,6.37,7.92,3.88,6.12,Engineering,2.0
S101198,18,M,Tozeur,Public,Medium,Secondary,27698.0,2023-08-30,2026,369,12.95,0.77,3.1,1,Mobile only,12.93,7.49,6.77,5.31,16.27,,C,D,A,B,5.12,8.58,4.07,5.07,Letters,2.0
S100307,17,F,Gafsa,Vocational,Medium,Secondary,27101.0,2021-11-17,2025,36,13.59,0.863,1.48,3,Home+Mobile,7.95,17.51,12.33,10.78,9.81,7.14,D,A,D,D,3.6,5.47,5.55,6.69,Health,2.0
S100285,15,M,Kairouan,Public,Medium,Secondary,6588.0,2022-06-02,2024,111,11.85,0.775,11.82,2,Home+Mobile,13.47,14.43,9.63,8.09,9.8,8.62,B,B,D,D,3.76,4.41,6.09,6.89,Science,3.0
S101594,18,F,Gabes,International,Medium,Secondary,1000.0,2021-11-22,2025,451,"10,35",0.835,5.13,0,Home+Mobile,17.52,1.35,17.68,2.96,7.78,14.88,A,D,D,B,,5.12,5.34,5.21,Letters,2.0
S101526,17,Other,Sousse,Public,Medium,None,30064.0,2022-04-10,2025,91,12.44,0.877,17.81,0,Home+Mobile,7.28,12.45,13.33,9.79,15.88,7.68,D,C,B,D,,5.8,7.03,5.59,Arts,3.0
S101074,21,F,Sousse,Public,Medium,Primary,27572.0,2021-10-18,2025,34,9.95,0.879,0.31,0,Mobile only,9.89,11.99,14.57,10.51,12.76,10.84,D,C,C,C,4.97,8.28,4.42,9.53,Engineering,3.0
S101648,19,F,Nabeul,Public,Low,Secondary,10831.0,2022-03-18,2024,366,13.82,0.95,3.06,0,Home+Mobile,10.11,16.05,9.09,15.86,18.51,7.54,C,A,A,D,5.74,3.17,5.72,4.54,Letters,3.0
S100751,20,F,Bizerte,Public,Low,Secondary,24906.0,2021-11-27,2024,64,15.28,0.876,2.11,2,Home+Mobile,8.62,16.9,15.25,6.87,17.98,15.52,D,A,A,B,5.19,5.45,5.96,2.34,Letters,3.0
S101765,17,M,Sfax,Public,High,Secondary,1000.0,2022-05-26,2025,352,13.12,0.812,8.65,2,Home+Mobile,8.63,10.39,17.34,9.86,10.01,8.64,D,C,C,D,6.25,9.26,8.66,6.2,Letters,3.0
S100638,17,F,Sfax,Private,High,Primary,30108.0,2022-01-28,2024,26,10.97,0.944,1.23,0,Home+Mobile,15.48,17.23,17.47,,16.74,11.32,B,A,A,C,1.38,5.15,8.75,5.72,Engineering,3.0
S101208,17,M,Gafsa,Public,Low,Secondary,32177.0,2021-10-01,2023,323,9.7,0.889,8.72,1,Home+Mobile,15.34,14.34,8.79,20.0,9.23,9.74,B,B,D,D,,7.32,4.77,6.57,Science,2.0
S101684,16,F,Gabes,Public,Medium,Primary,44365.0,2022-03-29,2023,79,15.3,0.965,6.67,0,Home+Mobile,14.65,8.26,11.35,,8.78,10.15,B,D,D,C,10.0,9.32,5.14,9.88,Health,2.0
S101049,15,M,Nabeul,Private,Low,Secondary,1000.0,2021-09-08,2026,334,10.53,0.957,3.49,2,Home+Mobile,9.46,15.42,14.58,4.83,15.83,11.82,D,B,B,C,7.37,6.93,3.93,7.64,Letters,3.0
S101020,18,M,Kairouan,International,Medium,Master,6829.0,2022-11-08,2025,416,8.41,1.0,0.97,0,School only,15.96,12.24,9.7,8.32,16.22,5.62,B,C,A,D,4.15,6.73,5.41,4.81,Engineering,2.0
S100653,18,M,Sfax,International,Medium,Master,6785.0,2022-02-10,2024,426,16.03,0.927,5.06,3,Home+Mobile,11.63,16.8,11.55,4.16,11.84,8.6,C,A,C,D,5.68,7.49,5.9,2.58,Science,2.0
S101268,18,F,Monastir,Vocational,Low,Bachelor,21031.0,2022-07-10,2026,327,8.56,0.915,1.49,1,School only,15.96,15.02,,4.22,17.88,16.02,B,B,A,A,6.89,6.93,7.7,2.35,Engineering,3.0
S100097,17,F,Gafsa,Private,Low,Secondary,28726.0,2022-06-27,2023,385,10.68,0.951,0.67,0,Mobile only,9.5,12.69,17.14,7.02,13.58,,D,C,B,D,,5.05,4.45,6.05,Arts,2.0
S100800,18,F,Sousse,Public,Medium,Bachelor,34844.0,2021-12-13,2023,401,10.33,0.933,18.48,0,Home+Mobile,9.06,8.67,5.46,7.72,11.94,10.27,D,D,C,C,6.9,4.59,3.6,4.78,Economics,2.0
S101016,16,F,Tunis,Private,Medium,Bachelor,32163.0,2023-01-05,2023,409,5.73,0.88,8.38,1,Home+Mobile,11.91,11.23,20.0,0.0,14.18,10.23,C,C,B,C,5.41,6.27,6.73,6.75,Letters,3.0
S101315,18,F,Gafsa,Public,Low,Secondary,21024.0,2023-04-05,2023,388,13.93,0.957,4.81,0,Mobile only,13.12,17.59,18.87,7.12,10.8,9.28,B,A,C,D,5.65,5.82,5.44,6.2,Arts,3.0
S100139,21,F,Bizerte,Public,Medium,Primary,24188.0,2021-11-03,2025,162,13.19,0.952,1.35,1,Home+Mobile,9.31,4.87,9.84,16.69,14.15,14.22,D,D,B,B,7.21,4.53,3.63,4.74,Arts,2.0
S101449,18,M,Nabeul,Private,Low,Primary,26597.0,2021-09-14,2023,417,9.96,0.961,2.82,2,Home+Mobile,8.22,6.94,9.98,18.55,13.91,12.49,D,D,B,C,3.7,3.79,4.87,7.1,Letters,3.0
S100947,20,F,Monastir,Public,Medium,Master,28158.0,2021-11-08,2023,315,"13,02",0.928,1.12,1,School only,5.82,10.15,0.23,,20.0,8.18,D,C,A,D,3.74,6.86,4.86,7.32,Letters,3.0
S100993,18,M,Monastir,International,High,Primary,29724.0,2021-12-07,2024,431,12.81,0.948,1.33,1,None,11.31,13.79,13.17,8.79,9.74,14.21,C,B,D,B,2.36,8.46,4.43,6.09,Letters,3.0
S101368,16,M,Gafsa,Private,Low,Secondary,14201.0,2024-06-04,2024,288,8.66,0.997,10.73,4,Home+Mobile,15.85,19.01,10.98,11.64,14.89,8.54,B,A,B,D,,,6.65,3.59,Science,3.0
S100935,17,M,Tozeur,Private,Medium,Secondary,7407.0,2022-01-08,2025,276,12.4,0.802,2.75,2,School only,12.45,11.34,10.38,15.65,11.65,7.72,C,C,C,D,6.78,8.68,7.08,7.41,Science,2.0
S100961,18,M,Monastir,Public,High,Primary,20281.0,2022-04-19,2025,109,10.13,0.818,3.76,0,Mobile only,17.17,10.99,14.0,6.82,15.12,12.4,A,C,B,C,5.45,4.87,5.95,5.16,Letters,2.0
S101192,17,F,Kairouan,Public,Medium,Master,7419.0,2021-10-30,2023,92,15.77,0.942,3.97,1,Home+Mobile,14.27,3.66,7.48,12.49,12.18,8.76,B,D,C,D,9.05,5.14,3.63,7.02,IT,
S101697,16,F,Sousse,International,High,Bachelor,1000.0,2021-12-12,2023,393,6.67,0.965,4.65,1,Mobile only,13.76,14.21,9.77,11.9,13.3,7.86,B,B,B,D,6.56,6.77,4.47,4.61,Engineering,3.0
S100128,15,F,Sfax,Public,Low,Primary,14887.0,2022-12-28,2023,86,10.56,0.885,3.68,0,Home+Mobile,17.12,14.27,15.58,2.75,15.93,18.06,A,B,B,A,5.32,9.28,2.4,6.48,Engineering,3.0
S100700,18,F,Nabeul,Public,Low,Secondary,16073.0,2022-01-30,2023,459,13.34,0.944,3.97,1,Home+Mobile,15.63,11.62,3.31,15.93,13.82,,B,C,B,D,8.96,,6.12,5.71,Engineering,2.0
S101511,18,M,Nabeul,Public,Medium,Secondary,3494.0,2021-09-30,2024,357,17.55,0.835,3.56,2,School only,19.55,11.6,14.92,11.68,9.12,12.53,A,C,D,C,7.34,8.33,2.12,4.77,Science,3.0
S101724,18,M,Gafsa,Public,Medium,Primary,6930.0,2021-09-10,2024,435,13.64,0.857,0.42,2,Mobile only,19.82,14.93,13.51,17.81,9.1,11.64,A,B,D,C,4.43,9.38,3.15,4.66,Engineering,2.0
S101860,19,F,Tunis,Public,Medium,Primary,30093.0,2022-03-21,2023,40,10.88,0.913,0.65,1,None,16.53,13.69,8.32,13.07,14.02,9.35,A,B,B,D,9.86,5.55,2.33,5.92,Science,3.0
S100522,20,M,Sfax,Public,High,Primary,22093.0,2021-10-29,2025,350,14.6,0.816,2.61,0,Home+Mobile,13.93,15.49,10.57,13.12,11.64,11.94,B,B,C,C,5.05,5.39,7.43,7.3,Engineering,2.0
S100264,19,F,Tozeur,Public,Low,Bachelor,36856.0,2021-10-21,2023,252,13.92,0.832,8.81,3,Home+Mobile,17.14,8.98,5.89,11.66,16.82,10.14,A,D,A,C,6.05,8.93,3.97,10.0,Letters,2.0
S101577,18,F,Tozeur,Public,Low,Master,21849.0,2022-03-01,2025,235,9.8,0.976,1.23,0,Home+Mobile,14.44,14.33,11.85,3.06,12.29,9.92,B,B,C,D,4.05,10.0,6.6,7.03,Science,2.0
S101642,18,M,Tunis,International,Medium,Bachelor,29568.0,2022-01-20,2025,291,12.22,0.963,3.21,3,Home+Mobile,11.0,8.81,14.66,,9.97,6.12,C,D,D,D,,,3.9,10.0,Letters,2.0
S101604,16,M,Sousse,Public,High,Primary,22497.0,2022-01-11,2025,411,17.63,0.922,2.21,1,Home+Mobile,12.11,12.8,7.88,16.37,12.07,11.33,C,C,C,C,7.28,8.99,5.39,7.03,Science,2.0
S100631,19,F, SOUSSE,Public,High,"unknown
",7968.0,2021-11-29,2025,493,12.64,0.885,17.38,0,Mobile only,13.22,N/A,8.67,15.22,15.18,2.97,B,D,B,D,4.69,7.73,6.43,6.72,Letters,3.0
S100498,21,Other,Sfax,Public,High,Master,29529.0,2023-04-27,2025,103,10.38,0.796,1.03,2,Home+Mobile,13.34,9.41,5.59,12.11,13.85,11.12,B,D,B,C,8.53,4.8,2.97,8.18,Letters,2.0
S101659,17,F,Tozeur,Private,Low,Secondary,17296.0,2022-01-28,2023,40,15.07,0.867,4.2,0,Home+Mobile,13.06,20.0,11.58,9.23,8.2,11.6,B,A,D,C,5.93,8.77,6.39,6.23,Science,3.0
S101822,18,F,Tozeur,Public,Low,Primary,5373.0,2022-05-02,2023,235,12.13,0.868,2.53,3,Home+Mobile,17.83,14.06,13.55,,13.5,,A,B,B,B,,4.2,3.65,7.5,Science,2.0
S101673,19,M,Gabes,Public,Medium,Master,8229.0,2021-10-04,2023,350,11.84,0.799,1.84,1,Home+Mobile,14.82,13.79,11.64,10.72,16.2,7.46,B,B,A,D,5.75,6.3,6.68,8.68,Science,2.0
S101775,17,F,Bizerte,Public,Medium,Bachelor,20381.0,2022-04-27,2024,34,14.85,0.923,3.1,0,Mobile only,12.02,14.45,11.87,8.5,8.68,8.2,C,B,D,D,6.81,2.86,4.08,9.77,Science,2.0
S100432,18,Other,Bizerte,Public,Medium,None,1000.0,2023-05-23,2025,184,10.74,0.795,0.18,1,School only,11.09,15.71,8.17,14.85,9.44,,C,B,D,D,7.04,3.42,2.83,5.06,Engineering,3.0
S101169,17,M,Tunis,Public,Medium,Bachelor,15732.0,2021-09-09,2026,458,11.12,0.987,9.41,0,Mobil only,7.61,12.68,12.09,11.7,8.2,18.4,D,C,D,A,4.84,7.65,4.54,6.08,Arts,3.0
S101692,17,F,Bizerte,Public,Low,Primary,26821.0,2021-09-11,2023,109,8.89,0.969,2.29,2,Home+Mobile,12.66,4.97,5.17,16.14,8.9,3.04,C,D,D,D,8.0,9.01,6.9,7.79,IT,2.0
S100068,16,M,Bizerte,Private,Medium,Secondary,27227.0,2022-04-09,2024,348,8.87,0.955,6.5,1,Home+Mobile,11.51,14.49,14.26,11.91,8.65,9.24,C,B,D,D,,,3.9,6.05,Letters,2.0
S100946,16,F,Bizerte,Public,Medium,Bachelor,37168.0,2022-04-23,2023,163,14.71,0.84,6.15,0,None,16.32,7.05,,7.41,12.17,9.01,A,D,C,D,8.53,5.26,5.4,7.16,IT,3.0
S101495,18,M,Gafsa,Vocational,Medium,Secondary,25497.0,2022-03-12,2024,43,12.98,0.765,1.46,1,School only,11.88,15.92,,12.35,9.2,7.39,C,B,D,D,10.0,3.33,4.04,6.15,Science,2.0
S101210,17,M,Gafsa,Public,Medium,Secondary,36563.0,2021-10-26,2023,297,11.02,1.0,4.08,0,Home+Mobile,9.71,12.26,10.81,7.64,14.93,13.37,D,C,B,B,0.55,4.94,1.29,4.23,Letters,2.0
S100841,18,F,Monastir,Public,High,Bachelor,23767.0,2023-02-28,2023,409,13.67,0.874,2.93,2,Home+Mobile,6.61,4.94,17.24,5.96,6.33,14.67,D,D,D,B,6.79,5.41,6.88,6.81,Economics,2.0
S100573,18,M,Tozeur,Public,Medium,Secondary,26990.0,2022-02-08,2025,379,6.38,0.949,6.66,1,Home+Mobile,18.51,11.06,10.73,16.56,12.42,16.6,A,C,C,A,7.7,3.84,8.52,7.04,Science,2.0
S100334,15,M,Bizerte,Public,Medium,Primary,15402.0,2022-10-25,2024,225,15.06,0.811,0.44,2,Home+Mobile,12.51,14.54,7.93,17.4,14.64,11.36,C,B,B,C,7.07,3.71,2.85,3.95,Science,3.0
S100338,17,M,Tunis,Private,Low,Secondary,16503.0,2022-08-16,2024,153,16.21,0.856,4.21,0,School only,16.04,7.68,16.22,6.51,10.58,9.47,A,D,C,D,9.89,6.35,3.6,3.44,Arts,3.0
S101677,17,M,Sousse,Vocational,Low,Secondary,18545.0,2021-12-26,2025,182,13.82,1.0,32.38,3,School only,9.18,7.78,,8.21,11.68,12.94,D,D,C,C,6.55,6.12,5.34,7.27,IT,3.0
S100664,16,F,Kairouan,Public,Medium,Primary,21893.0,2021-10-03,2025,488,15.37,0.911,3.92,1,Home+Mobile,14.6,11.36,12.1,9.57,19.03,7.06,B,C,A,D,2.6,8.6,6.74,2.26,Science,2.0
S100383,19,M,Tozeur,Public,Low,Secondary,28095.0,2024-07-08,2025,410,11.54,0.863,1.91,1,Mobile only,14.94,17.35,7.85,18.4,12.93,3.52,B,A,C,D,5.33,6.43,2.96,5.64,Engineering,3.0
S100943,19,F,Monastir,Vocational,Medium,Bachelor,10229.0,2021-10-06,2024,67,12.04,0.918,0.74,0,Home+Mobile,18.94,15.4,11.72,11.18,12.26,10.66,A,B,C,C,4.89,6.13,9.13,8.88,Science,2.0
S100055,20,F,Sousse,Public,Low,Master,7596.0,2021-12-12,2024,321,14.95,0.884,4.19,1,Mobile only,20.0,20.0,18.81,18.55,17.94,5.73,A,A,A,D,4.52,8.13,3.99,3.92,Engineering,3.0
S100704,16,F,Bizerte,Public,Low,Bachelor,20096.0,2021-10-05,2025,270,11.84,0.941,2.66,1,School only,20.0,13.11,8.76,7.86,11.5,15.33,A,B,C,B,5.71,5.63,2.68,5.42,Science,2.0
S101223,20,M,Sfax,Private,Medium,Bachelor,19859.0,2021-11-19,2024,231,8.08,0.795,5.74,1,Home+Mobile,18.24,20.0,18.01,8.19,11.74,3.4,A,A,C,D,7.12,,5.09,7.48,Science,2.0
S101067,16,Other,Bizerte,Vocational,Medium,PhD,22907.0,2022-05-29,2024,144,14.72,0.834,1.66,1,Home+Mobile,12.33,8.3,7.56,9.66,8.44,14.95,C,D,D,B,,7.24,4.22,5.88,Letters,2.0
